Filename,Config,OCR_module,LLM_model,Accuracy,Precision,Recall,F1_Score,PP_Time,OCR_Time,LLM_Time,Time
peru21#2013-08-07#01,32,olmocr,phi4,0.0,0.0,0.0,0.0,162.35852336883545,0.0,0.0,162.35852336883545
peru21#2013-08-07#01,34,rolmocr,phi4,0.0,0.0,0.0,0.0,0.22332406044006348,47.371132135391235,14.558347463607788,62.15280365943909
publimetro#2018-10-11#01,24,nanonets,phi4,0.06666666666666667,1.0,0.06666666666666667,0.125,0.009253263473510742,200.08108258247375,5.684549808502197,205.77488565444946
publimetro#2018-10-11#01,22,nanonets,phi4,0.6666666666666666,1.0,0.6666666666666666,0.8,28.903112411499023,22.30821967124939,40.93802070617676,92.14935278892517
peru21#2013-08-07#01,7,nanonets,phi4,0.0,0.0,0.0,0.0,0.188385009765625,18.571969032287598,9.385992050170898,28.14634609222412
trome#2015-02-13#01,15,nanonets,phi4,0.2,1.0,0.2,0.3333333333333333,0.006324291229248047,14.677324295043945,17.822778463363647,32.50642704963684
ojo#2015-04-01#01,5,rolmocr,phi4,0.5333333333333333,1.0,0.5333333333333333,0.6956521739130435,162.01297569274902,61.63063049316406,9.153399229049683,232.79700541496277
peru21#2020-09-12#09,21,nanonets,phi4,0.0,0.0,0.0,0.0,0.008063077926635742,200.204687833786,29.46551752090454,229.6782684326172
trome#2021-03-02#02,8,olmocr,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,0.04414796829223633,0.0,0.0,0.04414796829223633
peru21#2018-06-02#01,19,rolmocr,phi4,0.0,0.0,0.0,0.0,0.006597995758056641,61.73864221572876,20.71963405609131,82.46487426757812
peru21#2018-06-02#01,35,nanonets,phi4,0.25,1.0,0.25,0.4,0.044774770736694336,10.340147972106934,58.445358991622925,68.83028173446655
publimetro#2016-10-13#01,17,rolmocr,phi4,0.5,1.0,0.5,0.6666666666666666,0.02978205680847168,78.92008352279663,20.335572719573975,99.28543829917908
trome#2019-08-28#01,16,rolmocr,phi4,0.0,0.0,0.0,0.0,0.09930562973022461,54.1784405708313,4.441676378250122,58.719422578811646
trome#2017-03-11#26,33,olmocr,phi4,0.0,0.0,0.0,0.0,0.0183563232421875,0.0,0.0,0.0183563232421875
peru21#2020-09-12#09,13,rolmocr,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,28.389156103134155,182.0711214542389,32.763800382614136,243.22407793998718
trome#2021-03-02#02,44,olmocr,phi4,0.0,0.0,0.0,0.0,0.03998708724975586,0.0,0.0,0.03998708724975586
trome#2017-03-11#26,27,olmocr,phi4,0.0,0.0,0.0,0.0,0.017838716506958008,0.0,0.0,0.017838716506958008
trome#2019-08-28#01,4,rolmocr,phi4,0.0,0.0,0.0,0.0,28.433300256729126,68.53553128242493,7.084195613861084,104.05302715301514
ojo#2020-11-10#07,3,olmocr,phi4,0.6666666666666666,1.0,0.6666666666666666,0.8,0.0026051998138427734,0.0,0.0,0.0026051998138427734
trome#2017-03-11#26,0,nanonets,phi4,0.0,0.0,0.0,0.0,0.0012402534484863281,88.70973181724548,41.12857794761658,129.83955001831055
publimetro#2019-10-04#08,44,olmocr,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,0.05192089080810547,0.0,0.0,0.05192089080810547
peru21#2018-06-02#01,39,rolmocr,phi4,0.0,0.0,0.0,0.0,0.03182482719421387,55.88285231590271,18.075373649597168,73.99005079269409
ojo#2019-06-01#01,9,rolmocr,phi4,0.1111111111111111,1.0,0.1111111111111111,0.2,0.0015227794647216797,40.91602635383606,8.164353132247925,49.081902265548706
trome#2019-08-28#01,18,olmocr,phi4,0.0,0.0,0.0,0.0,0.0025072097778320312,0.0,0.0,0.0025072097778320312
peru21#2020-09-12#09,42,olmocr,phi4,0.25,1.0,0.25,0.4,0.029545307159423828,0.0,0.0,0.029545307159423828
publimetro#2016-10-13#01,7,nanonets,phi4,0.0,0.0,0.0,0.0,0.10658073425292969,18.378767013549805,12.241337776184082,30.726685523986816
trome#2020-03-13#04,32,rolmocr,phi4,0.13333333333333333,1.0,0.13333333333333333,0.23529411764705882,111.16424036026001,47.527557611465454,20.798547983169556,179.49034595489502
trome#2020-03-13#04,1,rolmocr,phi4,0.0,0.0,0.0,0.0,0.0047626495361328125,157.4619002342224,1.1265983581542969,158.59326124191284
trome#2021-03-02#02,33,nanonets,phi4,0.0,0.0,0.0,0.0,0.019032001495361328,200.28752660751343,48.93800687789917,249.24456548690796
publimetro#2019-10-04#08,44,rolmocr,phi4,0.0,0.0,0.0,0.0,0.05192089080810547,2687.653601884842,4.37239933013916,2692.077922105789
peru21#2013-08-07#01,15,nanonets,phi4,0.0,0.0,0.0,0.0,0.003565073013305664,25.08557677268982,22.571077823638916,47.66021966934204
peru21#2013-08-07#01,39,nanonets,phi4,0.0,0.0,0.0,0.0,0.028398752212524414,10.074362754821777,12.058339595794678,22.16110110282898
ojo#2015-04-01#01,30,rolmocr,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,0.021859407424926758,50.77624845504761,4.799116849899292,55.597224712371826
publimetro#2018-10-11#01,31,olmocr,phi4,0.2,1.0,0.2,0.3333333333333333,30.053597927093506,0.0,0.0,30.053597927093506
ojo#2019-06-01#01,36,nanonets,phi4,0.1111111111111111,1.0,0.1111111111111111,0.2,0.017270565032958984,14.007960557937622,7.862898111343384,21.888129234313965
trome#2017-03-11#26,22,rolmocr,phi4,0.0,0.0,0.0,0.0,29.345118045806885,183.89968729019165,17.998679876327515,231.24348521232605
peru21#2018-06-02#01,38,rolmocr,phi4,0.0,0.0,0.0,0.0,0.030418872833251953,50.00016760826111,7.3772101402282715,57.40779662132263
peru21#2020-09-12#09,35,nanonets,phi4,0.0,0.0,0.0,0.0,0.04450511932373047,199.47870349884033,36.48709464073181,236.01030325889587
peru21#2018-06-02#01,37,rolmocr,phi4,0.0,0.0,0.0,0.0,0.03318381309509277,49.79041504859924,28.0011088848114,77.82470774650574
ojo#2019-06-01#01,20,rolmocr,phi4,0.1111111111111111,1.0,0.1111111111111111,0.2,0.005010128021240234,59.250449419021606,10.11098861694336,69.3664481639862
publimetro#2016-10-13#01,28,olmocr,phi4,0.05555555555555555,1.0,0.05555555555555555,0.10526315789473684,0.017952442169189453,0.0,0.0,0.017952442169189453
peru21#2020-09-12#09,0,rolmocr,phi4,0.25,1.0,0.25,0.4,0.0024552345275878906,142.2067747116089,30.319780111312866,172.52901005744934
publimetro#2014-06-11#06,2,olmocr,phi4,0.25,1.0,0.25,0.4,0.0031442642211914062,0.0,0.0,0.0031442642211914062
ojo#2019-06-01#01,16,rolmocr,phi4,0.0,0.0,0.0,0.0,0.08563613891601562,50.96218466758728,5.758758068084717,56.80657887458801
publimetro#2014-06-11#06,13,rolmocr,phi4,0.5833333333333334,1.0,0.5833333333333334,0.7368421052631579,31.095818281173706,149.16792225837708,23.726398229599,203.99013876914978
ojo#2020-11-10#07,40,rolmocr,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,26.98330545425415,55.545098543167114,13.096898794174194,95.62530279159546
peru21#2018-06-02#01,11,olmocr,phi4,0.0,0.0,0.0,0.0,0.005124807357788086,0.0,0.0,0.005124807357788086
trome#2015-02-13#01,31,olmocr,phi4,0.3333333333333333,1.0,0.3333333333333333,0.5,28.414876699447632,0.0,0.0,28.414876699447632
peru21#2016-08-11#16,3,rolmocr,phi4,0.08333333333333333,1.0,0.08333333333333333,0.15384615384615385,0.0019283294677734375,193.3970136642456,34.06194996833801,227.4608919620514
trome#2020-03-13#04,32,nanonets,phi4,0.06666666666666667,1.0,0.06666666666666667,0.125,111.16424036026001,27.60033082962036,6.828591585159302,145.59316277503967
trome#2021-03-02#02,20,olmocr,phi4,0.2857142857142857,1.0,0.2857142857142857,0.4444444444444444,0.005940675735473633,0.0,0.0,0.005940675735473633
ojo#2015-04-01#01,24,olmocr,phi4,0.13333333333333333,1.0,0.13333333333333333,0.23529411764705882,0.012735366821289062,0.0,0.0,0.012735366821289062
ojo#2019-06-01#01,5,olmocr,phi4,0.1111111111111111,1.0,0.1111111111111111,0.2,155.03392243385315,0.0,0.0,155.03392243385315
trome#2017-03-11#26,35,nanonets,phi4,0.0,0.0,0.0,0.0,0.04356837272644043,199.7690041065216,10.802589416503906,210.61516189575195
publimetro#2019-10-04#08,10,nanonets,phi4,0.19047619047619047,1.0,0.19047619047619047,0.32,0.005300760269165039,78.75293278694153,25.69998288154602,104.45821642875671
ojo#2017-06-07#11,24,olmocr,phi4,0.0,0.0,0.0,0.0,0.0055942535400390625,0.0,0.0,0.0055942535400390625
trome#2020-03-13#04,15,rolmocr,phi4,0.0,0.0,0.0,0.0,0.006561994552612305,139.4261016845703,7.150629043579102,146.58329272270203
ojo#2020-11-10#07,36,nanonets,phi4,0.0,0.0,0.0,0.0,0.02333235740661621,6.228443145751953,4.4715516567230225,10.723327159881592
ojo#2017-06-07#11,1,rolmocr,phi4,0.0,0.0,0.0,0.0,0.022118330001831055,128.32781720161438,26.216166973114014,154.56610250473022
publimetro#2018-10-11#01,18,rolmocr,phi4,0.2,1.0,0.2,0.3333333333333333,0.0038607120513916016,48.38604784011841,4.618462085723877,53.00837063789368
trome#2020-03-13#04,18,rolmocr,phi4,0.0,0.0,0.0,0.0,0.003519773483276367,137.83268857002258,0.4337577819824219,138.26996612548828
trome#2015-02-13#01,41,rolmocr,phi4,0.06666666666666667,1.0,0.06666666666666667,0.125,125.95644497871399,53.98423480987549,5.992366313934326,185.9330461025238
peru21#2018-06-02#01,26,olmocr,phi4,0.0,0.0,0.0,0.0,0.07031130790710449,0.0,0.0,0.07031130790710449
trome#2017-03-11#26,9,olmocr,phi4,0.13333333333333333,1.0,0.13333333333333333,0.23529411764705882,0.0031960010528564453,0.0,0.0,0.0031960010528564453
trome#2019-08-28#01,4,nanonets,phi4,0.0,0.0,0.0,0.0,28.433300256729126,31.042580366134644,26.532891035079956,86.00877165794373
publimetro#2016-10-13#01,15,rolmocr,phi4,0.2777777777777778,1.0,0.2777777777777778,0.43478260869565216,0.005199909210205078,66.96054267883301,11.20907998085022,78.17482256889343
